CUSTOMER.cid  CUSTOMER.sex  CUSTOMER.firstname  CUSTOMER.lastname  CUSTOMER.Address  CART.cartid  CART.cid  CART.status  CART.remarks  CARTDETAILS.iid  CARTDETAILS.cartid  CARTDETAILS.qty  CARTDETAILS.remarks  BILL.billid  BILL.iid  BILL.amount  BILL.remarks  
62	0	ewisbqtvhk	ppedlttdhr	ykpbzoynhpmoiqfvwlolmllzzs	162	62	blcojgdu	wsppbplvmjkkpuijnsmmqsykclggdjkcuribnw	16	162	43	ijdfjfngljxaebhzxhvlqbfbsnncjxutebwbljofqtno	104	16	2087	zsobaqveqbubuphbgdfjzvsxhotnaewqecjgmhksegot	
90	1	tdohxjdoam	wisibzrlyq	mupyomgzbmpzjhtnrgpvtezmjd	183	90	eijbwmlz	ybsitzxfoxciecohujjjwtrbnkeqbwdyqryyvg	145	183	46	vxkzhflmdhynfbrgyfhzhxtkkqhanogtfnftxbxedvmo	162	145	317	cfscxjyffaejrwlvwpbmyjssbrvtripmalhpqwlctleo	
7	1	hyxelskogy	ydufydnegc	tseyfpgncxazkaruqxebhpippj	18	7	jdifgzah	yrwttwotzaktzknfqyjbwqububgubfljvwciza	191	18	19	njrbjgbscaxwzalfdgwwilazjqgqlyhyxcwemmkijfke	163	191	1462	dqfyitbpxdimxsrtcnlsrsacyyylaoeolxylokbtdcbl	
192	0	wuhdwusios	qohtyjwgoz	yehvxtrpvjllukvtpbbogrnnpb	196	192	hazslwua	vqlgsfwehckbyuafqvlasvrripoewmdyufaiir	2	196	7	kjxfgewxwfppiwqojsddrsxbxrtmfkaebazfwoctiqhk	110	2	1921	cshtrpefvlkqwhotonvtlqtgmddezprwjulblbnfbaxk	
90	1	tdohxjdoam	wisibzrlyq	mupyomgzbmpzjhtnrgpvtezmjd	183	90	eijbwmlz	ybsitzxfoxciecohujjjwtrbnkeqbwdyqryyvg	49	183	41	dpeortmnahzbawrcipiovoyehnpjjqxfeopeausclwli	130	49	270	rhzhwafcdenhgmzbnqpoivstiggposfptbkaesrzdyno	
123	0	bocsfkoasq	xggfsemxiz	gnxacclngsyzvqlbaksqxfaedo	3	123	lzxrklxb	xaoppvpjjojznwcffevzfnkappdbroewuhxmcp	68	3	23	reuzzeonqfnyerizkosqdlqormayizbgdvzoryzodjtc	185	68	2317	cdxyfmqzvmeeyblupsehpzkceltrmhtymihyspepolna	
96	1	afbsbadqhc	notfvjusqp	heaiuobgeytpsazltptmopzqii	48	96	ofmbdlov	zmhxlaqmgvblahnglhfiaaanctfhqlostwkxpy	129	48	9	euovqdsfvdvmihkmkfhgglspsgifaztkhapsmpotoynr	131	129	959	qmyxiqldlrjfpsfzkaqfdwuzbqnezfaepmvuwwloqdkz	
7	1	hyxelskogy	ydufydnegc	tseyfpgncxazkaruqxebhpippj	18	7	jdifgzah	yrwttwotzaktzknfqyjbwqububgubfljvwciza	191	18	19	njrbjgbscaxwzalfdgwwilazjqgqlyhyxcwemmkijfke	99	191	615	nodgcazfrvvqfkismmsfvukxinebrpaeweyzcaelyaqc	
114	0	mriyuffkac	nvfreghikk	qwlgprqkuhmxzdxkkypekhxcvk	190	114	mceoaove	iujtuvjxjdzxjzljekumfjvfnlhznjkpmoxngm	41	190	24	mberrbxcvnkgjtnjbyhiqdwxhhvnflqnlogutjgpbfcy	91	41	1017	xmeqfirnlburibovaletxpvfqzhyofypkpbtrahcqteq	
13	1	puexhkdgxa	oxpuzvmgar	yvjgvgazftbcevmzvmwyctpxbb	156	13	vefzoskw	xpnvipegijjwvbnzlrytfnjyjjufpwuklhoztl	121	156	2	hhqeetojkthtrutnvmxvkqxjgqefgqlwseteikmmyced	49	121	701	zrlfvplbmfdmjblbjbrfapjkkvwykcoxrpzmxwhzxhiv	
115	1	lvlenrcpih	whkhtjzevp	ewasjfobwzpbcxjhstpyklrfmx	40	115	jcbilatz	nqntcownorrusgxcucytlmkgikpkavzdwpxggs	132	40	25	zckibdvyijwilozigvclgbguvidqltglvmqkfklpqtuy	144	132	718	kyqwneouxhgkyllcgopoyfdwusmdfeopiumwfpgtmjqj	
20	0	xupsrdxcuu	ihiqhkqzry	uqdhirkkjcempwspindonvggiw	117	20	skhrhzdo	gmaovhizuiaunkwjhceoyinekzcvoiozzutlxc	164	117	0	bbmmjjlqehkqvojgygufqrfzjfjjrkpwyfgvjjjiqkwv	73	164	213	newjarpqfblgffdfvlfldbwhjxreglkczbzfnynhycyn	
20	0	xupsrdxcuu	ihiqhkqzry	uqdhirkkjcempwspindonvggiw	117	20	skhrhzdo	gmaovhizuiaunkwjhceoyinekzcvoiozzutlxc	164	117	0	bbmmjjlqehkqvojgygufqrfzjfjjrkpwyfgvjjjiqkwv	186	164	1510	hohbdjbhlexewiyeanfpnxickhsordfuutiikejiitor	
151	0	jrkngonemn	jhrpvmztos	dtzfjpkegvqjktqgvyzvpcempr	5	151	jzrovwir	tvfhotnezcmckdcgrwnyukwingghvcztendjnc	135	5	26	wxikamhkuamlmskpexgtmumyignknuxfnndxvadpztze	18	135	626	faqqodtyyleieknxigyiqzvxakedkstwqabhsqnuabcn	
118	0	dwbxgxllij	girodulgok	elpqrzexbmmforydkoimbgaewm	51	118	jvcalwwy	gxicaftductxayxvnabmdtmyxrzfhremhrlrta	131	51	17	evxkrxeuwaqbodzpfmyjdxmrljgiioykuwcknhlimfms	153	131	1647	zskwxuxedivubfwkpboglielsngzwxbkmxbxoykbvfrw	
